product_id,category,material,material_cost,production_days,date,market_price
P001,Bag,Canvas,207,1,2026-01-10,1230
P001,Bag,Canvas,207,1,2026-02-10,1410
P001,Bag,Canvas,207,1,2026-03-10,1210
P001,Bag,Canvas,207,1,2026-04-10,1250
P001,Bag,Canvas,207,1,2026-05-10,1440
P002,Bag,Canvas,292,1,2026-01-10,1380
P002,Bag,Canvas,292,1,2026-02-10,1480
P002,Bag,Canvas,292,1,2026-03-10,1290
P002,Bag,Canvas,292,1,2026-04-10,1550
P002,Bag,Canvas,292,1,2026-05-10,1620
P003,Bag,Canvas,300,5,2026-01-10,1020
P003,Bag,Canvas,300,5,2026-02-10,970
P003,Bag,Canvas,300,5,2026-03-10,1000
P003,Bag,Canvas,300,5,2026-04-10,1110
P003,Bag,Canvas,300,5,2026-05-10,1210
P004,Pottery,Clay,391,6,2026-01-10,730
P004,Pottery,Clay,391,6,2026-02-10,870
P004,Pottery,Clay,391,6,2026-03-10,840
P004,Pottery,Clay,391,6,2026-04-10,900
P004,Pottery,Clay,391,6,2026-05-10,880
P005,Pottery,Terracotta,188,6,2026-01-10,1150
P005,Pottery,Terracotta,188,6,2026-02-10,1090
P005,Pottery,Terracotta,188,6,2026-03-10,1250
P005,Pottery,Terracotta,188,6,2026-04-10,1240
P005,Pottery,Terracotta,188,6,2026-05-10,990
P006,Pottery,Clay,158,6,2026-01-10,600
P006,Pottery,Clay,158,6,2026-02-10,780
P006,Pottery,Clay,158,6,2026-03-10,660
P006,Pottery,Clay,158,6,2026-04-10,790
P006,Pottery,Clay,158,6,2026-05-10,670
P007,Textile,Silk,361,9,2026-01-10,1060
P007,Textile,Silk,361,9,2026-02-10,1250
P007,Textile,Silk,361,9,2026-03-10,1180
P007,Textile,Silk,361,9,2026-04-10,1220
P007,Textile,Silk,361,9,2026-05-10,1240
P008,Textile,Cotton,813,7,2026-01-10,2660
P008,Textile,Cotton,813,7,2026-02-10,2220
P008,Textile,Cotton,813,7,2026-03-10,2580
P008,Textile,Cotton,813,7,2026-04-10,2420
P008,Textile,Cotton,813,7,2026-05-10,2460
P009,Textile,Wool,369,6,2026-01-10,2060
P009,Textile,Wool,369,6,2026-02-10,2230
P009,Textile,Wool,369,6,2026-03-10,2490
P009,Textile,Wool,369,6,2026-04-10,2220
P009,Textile,Wool,369,6,2026-05-10,2280
P010,Jewelry,Beads,601,1,2026-01-10,890
P010,Jewelry,Beads,601,1,2026-02-10,980
P010,Jewelry,Beads,601,1,2026-03-10,1040
P010,Jewelry,Beads,601,1,2026-04-10,1170
P010,Jewelry,Beads,601,1,2026-05-10,1070
P011,Jewelry,Beads,348,6,2026-01-10,2870
P011,Jewelry,Beads,348,6,2026-02-10,2970
P011,Jewelry,Beads,348,6,2026-03-10,3100
P011,Jewelry,Beads,348,6,2026-04-10,2790
P011,Jewelry,Beads,348,6,2026-05-10,2820
P012,Jewelry,Beads,1057,7,2026-01-10,4180
P012,Jewelry,Beads,1057,7,2026-02-10,3890
P012,Jewelry,Beads,1057,7,2026-03-10,4130
P012,Jewelry,Beads,1057,7,2026-04-10,4690
P012,Jewelry,Beads,1057,7,2026-05-10,4330
P013,Wooden Craft,Teak,492,5,2026-01-10,2840
P013,Wooden Craft,Teak,492,5,2026-02-10,2460
P013,Wooden Craft,Teak,492,5,2026-03-10,2830
P013,Wooden Craft,Teak,492,5,2026-04-10,2620
P013,Wooden Craft,Teak,492,5,2026-05-10,2960
P014,Wooden Craft,Wood,282,8,2026-01-10,1490
P014,Wooden Craft,Wood,282,8,2026-02-10,1600
P014,Wooden Craft,Wood,282,8,2026-03-10,1260
P014,Wooden Craft,Wood,282,8,2026-04-10,1500
P014,Wooden Craft,Wood,282,8,2026-05-10,1520
